,story,query,target
34,"[Catherine] and her son, [Arvid], went to the park to fly a kite. They had fun doing it all day. [Arvid] has a daughter called [Pattie]. [Annetta] and her sister, [Pattie], frequently bicker. However, they always make up quickly.","('Catherine', 'Annetta')",granddaughter
35,"[Roxie] asked her daughter, [Marie], if she had fun at school that day. [Marie] answered that she and her sister, [Leonie], had lots of fun together. [Leonie], a female, took her husband who is a male, [Patrick], out for lunch.","('Roxie', 'Patrick')",son-in-law
36,"[Corine] was mad at her son, [Joshua]. She found he'd been stealing from her purse. [Rollin] asked his brother [Joshua] if he would come help him fix his car next weekend. [Elmore] took his grandson [Rollin] to the baseball game.","('Corine', 'Elmore')",father
37,"[Terry] and his wife [Mozella] went to see a movie. [Mozella]'s daughter, [Lida], came with them. [Lida] and her brother [Asberry] went to see a movie.","('Terry', 'Asberry')",son
38,"[Rosalia] went to the mall, because she wanted to look for a present for her daughter, [Victoria]. [Victoria] went to her brother [Gabriel]'s birthday party [Marie] enjoys playing cards with her brother. His name is [Gabriel].","('Rosalia', 'Marie')",daughter
39,"[Alphonse] was so happy for his brother, [Matt], getting a promotion. [Matt] took his son [Rex] to play at the park, and [Rex]'s paternal grandmother [Zora] tagged along.","('Alphonse', 'Zora')",mother
40,"[Zeke] went to his grandson [Oliver]'s first soccer game of the season. [Cynthia], [Oliver]'s little sister cheered him on for the entire game. [Dicie] and her sister, [Cynthia], frequently bicker. However, they always make up quickly.","('Zeke', 'Dicie')",granddaughter
41,"[Ivey] sat with his daughter, [Lee], for ice cream at a local shop. [Oma] and her husband, [Ivey] are vacationing in the south of France this week. [Oma] was excited to visit her son, [Walton], at college.","('Lee', 'Walton')",brother
42,[Elton] took his son [Waldo] to the park to feed the squirrels. [Eddie] bought to dress for his father [Waldo] [Enos] took his nephew [Eddie] out to get some ice cream to celebrate his baseball victory.,"('Elton', 'Enos')",son
43,"[Nick] took his son [Ellsworth] to the park to feed the squirrels. [Ellsworth]'s grandmother, [Bridget], was prepping for a marathon at age 70! [Parker] is out playing tennis with his daughter [Bridget] because it is nice and sunny outside.","('Nick', 'Parker')",grandfather
44,[Martina] made breakfast for her daughter [Loma] before calling her husband [Tobias] to pick her up. [Toney] and his wife [Loma] went to the beach to watch the fireworks on the 4th of July.,"('Tobias', 'Toney')",son-in-law
45,[Elsa] and her brother [Douglas] walked to the park. [Elsa]'s son [Benton] joined them later on. [Ishmael] and his brother [Benton] always played pranks on each other,"('Douglas', 'Ishmael')",nephew
46,"[Hedwig] was so excited because she received two gifts on her birthday. One was from her father, [Shirley], and the other was from her grandmother, [Edna]. [Rutherford] took his sister [Edna] out to lunch after learning that she got accepted into her first choice for university.","('Shirley', 'Rutherford')",uncle
47,"[Harris] and his son [Jules] went to the cinema together. [Harris] and his sister, [Lenora], went to a sneak preview of the Avengers movie and loved it. [Lenora] and her brother [Rafe] went to see a movie.","('Jules', 'Rafe')",uncle
48,"[Godfrey] went fishing with his daughter [Zona]. [Zona]'s sister, [Josiephine], was n't invited because she hates fishing. [Josiephine] takes good care of her grandmother, [Magdalena].","('Godfrey', 'Magdalena')",mother
49,[Hulda] went to her brother [Noel]'s birthday party [Noel] and his brother [Hervey] went to the park to play basketball. [Hervey] stayed up late on the weekend listening to stories of his grandfather [Lincoln]'s youth.,"('Hulda', 'Lincoln')",grandfather
50,[Janie] took her daughters [Aurora] and [Sada] on a vacation. [Sada] met her husband [Nellie] there.,"('Nellie', 'Janie')",mother-in-law
51,[Johnie] and his wife [Arminta] threw a surprise party for their daughter [Birdie]. [Johnie]'s sister [Elva] came.,"('Elva', 'Birdie')",neice
52,"[Gregorio] invited his mother [Irma] and grandmother [Cherry] over for dinner. [Cherry] was mad at her son, [Erie]. She found he'd been stealing from her purse.","('Irma', 'Erie')",brother
53,"[Venie] spent a great day shopping with her daughter, [Eunice]. [Eunice] went to the baseball game with her uncle [Owen]. [Owen] is proud that his daughter is such a good student. Her name is [Viola].","('Venie', 'Viola')",neice
54,"[Simon] took his sister [Easter] out to lunch after learning that she got accepted into her first choice for university. [Preston] enjoys going fishing with his brother. His name is [Simon]. [Preston]'s mother, [Dixie], waited impatiently for him at the diner.","('Easter', 'Dixie')",mother
55,"[Addie] took her sister, [Alvina], out to dinner for her birthday. [Guadalupe], who is the sister of [Addie], is a lovely girl. [Guadalupe] was excited to visit her son, [Winfield], at college.","('Alvina', 'Winfield')",nephew
56,"[Noble] took his daughter [Letty] out for dinner. [Clemente] and [Claud] were both still very upset with their mother, [Letty].","('Noble', 'Clemente')",grandson
57,[Erasmus] bought a new dress for his daughter [Ava]. [Theodosia] went shoe shopping with her sister [Ava]. [Theodosia] went over to her uncle [Tobe]'s house for dinner.,"('Erasmus', 'Tobe')",brother
58,[Lyda]'s son [Loyd] decided to spend the night at a friend's house. [Lyda] was happy as this meant she would have some alone time with her husband [Finis]. [Loyd] played basketball with his brother [Chauncey].,"('Finis', 'Chauncey')",son
59,"[Friend]'s mother [Ottilia] had to help him with his homework because he was having a test soon. [Sylvester] likes to visit his sister. Her name is [Ottilia]. [Sylvester] was disappointed that his father, [Rollie], would n't be at the play to see him perform.","('Friend', 'Rollie')",grandfather
60,"[Almer] likes to visit his sister. Her name is [Rosella]. [Almer] is [Josephine]'s older brother. He has never liked any of her boyfriends. [Josephine] takes good care of her grandmother, [Emelie].","('Rosella', 'Emelie')",grandmother
61,"[Aaron] took his grandson [Vance] fishing. [Vance] was filled with pride and joy to see his daughter [Viva] perform in her first ballet recital. [Viva] decided to give her uncle, [Reginald], a call on his birthday.","('Aaron', 'Reginald')",grandson
62,[Price] and his wife [Augustine] went to the beach to watch the fireworks on the 4th of July. [Genie] and her father [Price] were attempting to coax her son [Pedro] from out of a tall tree.,"('Augustine', 'Pedro')",grandson
63,[Gus] drove his daughter [Cecelia] to soccer practice. [Cecelia] did the laundry with her son [Washington]. [Washington]'s sister [Calla] never washes clothes.,"('Gus', 'Calla')",granddaughter
64,"[Smith] and his wife [Phyllis] went to the supermarket. [Phyllis]'s daughter [Ettie] was home sick with the flu. [Ettie] spent a great day shopping with her daughter, [Leanna].","('Smith', 'Leanna')",granddaughter
65,"[Maggie] and her son, [Art], went to the park, and had a wonderful time. [Art] and his sister, [Avis], went to a sneak preview of the Avengers movie and loved it. [Alberta] took her sister, [Avis], out to dinner for her birthday.","('Maggie', 'Alberta')",daughter
66,"[Virgie] and her brother [Casper] are having an argument over when her dad, [Carson], will be back from the store. [Gabriel] bought to dress for his father [Casper]","('Carson', 'Gabriel')",grandson
67,[Clarence] took his daughter [Dollie] to cheer practice. [Elsie] and [Lewis] did the Father daughter dance at the recital and his wife [Dollie] was so happy she cried,"('Clarence', 'Elsie')",granddaughter
68,[Ella] asked her brother [Enoch] if [Enoch]'s son [Clinton] was sick. [Clinton] and his Aunt [Lottie] flew first class,"('Ella', 'Lottie')",sister
69,"[Titus] had a conversation with his grandson, [Rutherford]. [Titus] asked his wife [Ellar] to keep her distance. [Dewitt] and his brother [Rutherford] always played pranks on each other","('Ellar', 'Dewitt')",grandson
70,"[Otto], his granddaughter [Maryann], and her brother [Stanton], all went out to lunch. [Pleasant], [Stanton]'s brother, was supposed to come too, but he called and told them he could n't make it.","('Otto', 'Pleasant')",grandson
71,"[Virgie] was baking cupcakes with her daughter [Ava]. [Ava]'s sister [Clemmie] was in the living room watching TV, and [Clemmie]'s sister [Zula] was talking on the phone.","('Zula', 'Virgie')",mother
72,"[Penelope] and [Humphrey] have been married for 35 years. [Pattie] brought her grandmother, [Penelope], some muffins. [Lew] likes to visit his sister. Her name is [Pattie].","('Humphrey', 'Lew')",grandson
73,[Alphonse] took his son [Matt] to the park to feed the squirrels. [Matt] and his sister [Beryl] have been best friends ever since childhood. [Beryl] watched a golf tournament with her aunt [Zora].,"('Alphonse', 'Zora')",sister
74,"[Oliver] and his grandmother [Natalie] went kayaking [Oliver] and his brother [Russell] went to the park to play basketball. [Russell] took his sister, [Dicie], to a baseball game.","('Natalie', 'Dicie')",granddaughter
75,[Euphemia] and [Zack] took there brother [Josh] to the hospital. [Zack]'s son [Walton] came along.,"('Josh', 'Walton')",nephew
76,"[Cordia] took her sister, [Dinah], out to dinner for her birthday. [Esther] had a daughter named [Cordia]. [Enos] and his sister, [Esther] love it when their grandmother visits because she spoils them. She is coming this week to watch them while their parents are out of town.","('Dinah', 'Enos')",uncle
77,[Mandy] and her husband [Ellsworth] went on a cruise. They had a wonderful time. [Ellsworth] took his son [Tony] to the park to feed the squirrels. [Tony]'s aunt [Daisie] took him to the store to do some last minute party shopping.,"('Mandy', 'Daisie')",sister
78,"[Tobias] took his daughter [Martina] to the park that afternoon to play. [Jonah] and his sister, [Martina] love it when their grandmother visits because she spoils them. She is coming this week to watch them while their parents are out of town. [Toney] took his grandson [Jonah] to the park on Saturday and they had a good time.","('Tobias', 'Toney')",father
79,"[Douglas]'s wife, [Elsa], surprised him on his birthday. He could n't believe she pulled it off. [Ione] and her sister, [Elsa], frequently bicker. However, they always make up quickly. [Guadalupe] and her daughter [Ione] went to see a movie yesterday and then got ice cream afterwards.","('Douglas', 'Guadalupe')",mother-in-law
80,[Shirley] is proud that his daughter is such a good student. Her name is [Hedwig]. [Hedwig] and her grandmother were trying on makeup together. [Edna] was giving the girl some tips. [Edna] went to her brother [Rutherford]'s birthday party,"('Shirley', 'Rutherford')",uncle
81,"[Jules] took his son [Harris] to the park to feed the squirrels. [Harris]'s aunt, [Lenora], took him fishing [Lemma] went shoe shopping with her sister [Lenora].","('Jules', 'Lemma')",sister
82,[Godfrey] took his daughter [Zona] to the park that afternoon to play. [Dallas] made nachos for his granddaughter [Josiephine]. [Josiephine]'s sister [Zona] ate tacos instead.,"('Godfrey', 'Dallas')",father
83,"[Vada] and her brother [Asa] enlisted in the army [Hervey] took his sister [Vada] out to lunch after learning that she got accepted into her first choice for university. [Hervey] and his grandmother [Patty] went to the science museum. They both had fun, and learned some things, too.","('Asa', 'Patty')",grandmother
84,"[Augustin] and his brother [Nellie] took [Augustin] daughter [Aurora] to the movies. [Janie], who is the sister of [Aurora], is a lovely girl.","('Nellie', 'Janie')",neice
85,"[Abe] is proud of his daughter's son. His name is [Johnie]. [Wilford] bought to dress for his father [Johnie] [Wilford] likes to spend time with his aunt, [Birdie], who was excellent at cooking chicken.","('Abe', 'Birdie')",granddaughter
86,"[Irma] went to her brother [Gregorio]'s birthday party [Cherry]'s son [Erie] was planning a trip for her husband, [Gregorio].","('Irma', 'Erie')",nephew
87,"[Eunice] has not seen her brother, [Cato] in over a year. She wants to take her son, [Owen] to meet him. [Owen] wanted to go to his grandfather [Julius] 'house because he always has a good time when he is there.","('Cato', 'Julius')",father
88,"[Rubin] told his wife [Mable] to pick up their daughter. [Mable] asked her daughter, [Loretta], if she had fun at school that day. [Loretta] answered that she and her sister, [Dixie], had lots of fun together.","('Rubin', 'Dixie')",daughter
89,"[Alvina] received some beautiful roses from her husband [Archie]. [Archie] loves his granddaughter [Guadalupe]. She loves him, too. [Guadalupe] and her brother [Winfield] went to see a movie.","('Alvina', 'Winfield')",grandson
90,[Letty] and her husband [Noble] are taking [Letty]'s son [Claud] and his sister [Wilhelmine] to the amusement park this weekend.,"('Noble', 'Wilhelmine')",daughter
91,"[Dell] asked his brother [Erasmus] if he would come help him fix his car next weekend. [Theodosia] enjoys playing cards with her brother. His name is [Dell]. [Theodosia] made a cake for her grandfather, [Tobe].","('Erasmus', 'Tobe')",grandfather
92,"[Porter]'s mother, [Jewell], helped him raise his daughter, [Celestine]. [Lucretia] went shoe shopping with her sister [Celestine].","('Jewell', 'Lucretia')",granddaughter
93,[Ottilia] asked her husband [Friend] if he could chop up some vegetables for dinner. [Christine]'s mother [Ottilia] was teaching her how to teach when [Christine]'s husband [Rollie] arrived home.,"('Friend', 'Rollie')",son-in-law
94,[Josephine] asked her brother [Almer] and his son [Abner] to come over for dinner Friday night since it was [Almer]'s birthday. [Emelie] went to the store with her sister [Josephine],"('Abner', 'Emelie')",aunt
95,"[Aaron] has a daughter called [Madie]. [Madie] asked her daughter, [Viva], if she had fun at school that day. [Viva] answered that she and her sister, [Dessa], had lots of fun together.","('Aaron', 'Dessa')",granddaughter
96,[Price] took his sister [Augustine] out to lunch after learning that she got accepted into her first choice for university. [Genie] enjoys playing cards with her brother. His name is [Price]. [Pedro] likes to visit his sister. Her name is [Genie].,"('Augustine', 'Pedro')",brother
97,[Edd] took his sister [Marion] out to lunch after learning that she got accepted into her first choice for university. [Washington] bought to dress for his father [Edd] [Washington] and his uncle [Bird] went to the movies Sunday after church and got popcorn and candy while they were there.,"('Marion', 'Bird')",brother
98,"[Asberry] went to his brother [Smith]'s Birthday party [Asberry] and his brother [Wilbert] went to the park to play basketball. [Hoy] was so proud of his son, [Wilbert]. he received a great scholarship to college.","('Smith', 'Hoy')",father
99,"[Michael] is taking his wife [Henry] out to dinner for their date tonight. [Avis] went with her grandmother, [Henry], to the grocery store to help her while she shopped. [Alberta], who is the sister of [Avis], is a lovely girl.","('Michael', 'Alberta')",granddaughter
