,story,query,target
71,"[Erasmus] enjoys visiting his son, [Elizabeth], and his grandson [Joeseph]. Sometimes, [Elizabeth]'s wife, [Maymie], spends time with him as well. [Maymie] became concerned when she had n't heard from her husband [Elizabeth] all day.","('Maymie', 'Erasmus')",father-in-law
72,"[Ruthie] and her husband [Reuben] danced together at the party. [Ruthie] was mad at her son, [Matthew]. She found he'd been stealing from her purse. [Matthew] loves visiting his grandmother [Tommie] in Florida. [Ruthie] and her husband [Reuben] went on a cruise. They had a wonderful time.","('Reuben', 'Tommie')",mother
73,"[Loyd] asked to join his father, [Watt], at church on Sunday. [Loyd]'s wife, [Pinkie], decided to tag along. [Carey] and her brother [Loyd] wanted to go out and play, but [Carey]'s mom, [Pinkie], told them they had to stay in and do their chores.","('Watt', 'Carey')",granddaughter
74,[Rollin] was excited to watch the hockey game with his father [Joshua]. [Joshua] had been excited to get the tickets from his father [Warner]. [Rollin] and his Aunt [Inga] flew first class [Inga] loves cooking for her son. His name is [Rollin],"('Warner', 'Inga')",daughter
75,[Abbie] and her mother [Miles] made breakfast together. [Hessie] went to the salon with her sister [Abbie] and her grandmother [Maymie]. [Abbie] went over to her uncle [Miles]'s house for dinner.,"('Miles', 'Maymie')",mother
76,[Lola] put her son [Cleveland] to sleep before heading out with her sister [Ruthie]. [Cleveland]'s aunt [Maryann] likes to drink a little bit too much wine at family gatherings. [Cleveland] received a novel for Christmas from his aunt [Lola].,"('Ruthie', 'Maryann')",sister
77,"[Weaver] took his daughter [Ida] to the park that afternoon to play. [Ida] asked her daughter, [Alice], if she would like to go to a movie with her on Saturday night. [Alys] was happy to babysit her niece, [Alice]. [Alice] was a great child. [Weaver] sat with his daughter, [Ida], for ice cream at a local shop.","('Weaver', 'Alys')",daughter
78,"[Kitty]'s husband, [Almon], surprised her with tickets to a football game for their anniversary. [Lella]'s grandfather, [Almon], baked her a beautiful cake for her 9th birthday. [Adelle] went to the store with her sister [Lella] [Kitty] became concerned when she had n't heard from her husband [Almon] all day.","('Kitty', 'Adelle')",granddaughter
79,"[Gertrude] took her brother [Melvin] to the park, but left her sister [Katherine] at home. [Pearl] bought Christmas gifts for his brother [Melvin] and his sister [Katherine].","('Katherine', 'Pearl')",brother
80,[Harris] is having a meal with his father [Williams]. [Imogene] and [Williams] are happy with each other. [Felicia] asked her husband [Harris] if he could chop up some vegetables for dinner. [Imogene] is so happy her husband got a promotion at work. His name is [Williams].,"('Imogene', 'Felicia')",daughter-in-law
81,"[Thelma]'s son, [Lacy], had to stay home from school with a cold. [Emmie] and [Wilton] did the Father daughter dance at the recital and his wife [Thelma] was so happy she cried [Thelma] always goes to the park with her son [Lacy] on Saturdays.","('Lacy', 'Emmie')",sister
82,"[Joeseph]'s mother, [Idell], was always close to his grandmother, [Nellie]. [Maymie], [Idell]'s sister, never understood the closeness. [Maymie] went to the store with her sister [Idell]","('Maymie', 'Nellie')",mother
83,"[Watt] took his daughter [Celestine] to the park that afternoon to play. [Celestine] wanted to visit her grandmother [Pinkie], but [Pinkie] was asleep. [Carey] went to the store with her sister [Pinkie] [Watt] sat with his daughter, [Celestine], for ice cream at a local shop.","('Watt', 'Carey')",aunt
84,[Denis] was eating lunch with his son [Almon] and his wife [Alys]. [Ottis] took his grandson [Almon] to the zoo. [Denis] is taking his wife [Alys] out to dinner for their date tonight.,"('Alys', 'Ottis')",father
85,"[Adelle] went to the mall, because she wanted to look for a present for her daughter, [Katherine]. [Katherine] went to the mall, because she wanted to look for a present for her daughter, [Gertrude]. [Katherine] took her daughter [Iva] to the park. [Iva] was sad her sister [Gertrude] could not join.","('Adelle', 'Iva')",granddaughter
86,"[Wilford] went to see his daughter [Imogene] for parents day at college. [Williams] took his sister [Imogene] out to lunch after learning that she got accepted into her first choice for university. [Williams] went to see his daughter [Frankie] for parents day at college. [Imogene] was happy to babysit her niece, [Frankie]. [Frankie] was a great child.","('Wilford', 'Frankie')",granddaughter
87,"[Orson] and his brother, [Leopold] run a turtle farm. [Leopold] and his sister, [Idell], went to a sneak preview of the Avengers movie and loved it. [Idell] wanted to visit her grandmother [Honora], but [Honora] was asleep. [Leopold] played basketball with his brother [Orson].","('Orson', 'Honora')",grandmother
88,"[Reuben] and his brother [Erasmus] played harmonicas together. [Reuben]'s daughter [Ruthie] loved it. [Ruthie] went to the baseball game with her uncle [Matthew]. [Matthew] and his brother, [Reuben] run a turtle farm.","('Erasmus', 'Matthew')",brother
89,"[Maryann] wanted to visit an art museum, so she asked her father, [Cleveland] to take her. [Celestine] was happy to babysit her niece, [Maryann]. [Maryann] was a great child. [Celestine] and her son [Evan] went out to lunch together yesterday. [Cleveland] is out playing tennis with his daughter [Maryann] because it is nice and sunny outside.","('Cleveland', 'Evan')",nephew
90,"[Hessie] enjoyed a homemade dinner with her son [Leopold] [Elizabeth] is the uncle of [Leopold]. [Joeseph] bought to dress for his father [Elizabeth] [Leopold]'s mother, [Hessie], waited impatiently for him at the diner.","('Hessie', 'Joeseph')",nephew
91,"[Tommie] always goes to the park with her son [Watt] on Saturdays. [Watt] and his sister, [Celestine], went to a sneak preview of the Avengers movie and loved it. [Celestine] received some beautiful roses from her husband [Evan]. [Tommie] gave birth to a son named [Watt].","('Tommie', 'Evan')",son-in-law
92,"[Carey] had picked her daughter [Winifred] out the cutest new dress to wear on her birthday. [Weaver] and his sister, [Winifred] love it when their grandmother visits because she spoils them. She is coming this week to watch them while their parents are out of town. [Weaver] and his sister, [Ida], went to a sneak preview of the Avengers movie and loved it. [Winifred], who is the sister of [Ida], is a lovely girl.","('Carey', 'Ida')",daughter
93,"[Katherine] went with her mother [Adelle] to pick out a gift for [Adelle]'s mother, [Lella]. [Gertrude] and her sister [Katherine] went to the mall. While at the mall [Gertrude] found the perfect Mother's Day gift for her mother [Adelle].","('Lella', 'Gertrude')",granddaughter
94,"[Corine] and her sister, [Lizzie], frequently bicker. However, they always make up quickly. [Lura] and her sister [Marcella] were arguing over a toy. While they were fighting, [Lura]'s sister [Corine] grabbed the toy, and ran off to play with it by herself. [Lizzie] went shoe shopping with her sister [Lura].","('Lizzie', 'Marcella')",sister
95,[Lum] bought to dress for his father [Asberry] [Felix] took his nephew [Lum] to the hockey game. [Felix] loved going to the store with his mom [Christena]. She always bought him snacks [Asberry] asked his brother [Felix] if he would come help him fix his car next weekend.,"('Asberry', 'Christena')",mother
96,"[Williams] and his father, [Benjamine] go camping every year with [Williams]'s brother, [Harris]. [Benjamine]'s wife, [Arminta] stays home. [Harris]'s brother, [Williams], recently made it into town.","('Arminta', 'Harris')",son
97,"[May] joined her husband [Young], her son [Miles] and daughter-in-law [Abbie] for brunch last Sunday. [May] fixed her husband [Young] dinner and then they watched a movie they rented.","('Young', 'Abbie')",daughter-in-law
98,"[Orson] took his son [Leopold] to the park to feed the squirrels. [Elizabeth] enjoys going fishing with his brother. His name is [Leopold]. [Elizabeth] and his grandmother [Honora] went to the science museum. They both had fun, and learned some things, too. [Orson] and his son [Leopold] went to the cinema together.","('Orson', 'Honora')",mother
99,"[Reuben]'s wife is [Nellie]. They went to pick up [Reuben]'s son, [Barton], from school together. [Barton] was so happy for his brother, [Matthew], getting a promotion. [Reuben] was so proud of his son, [Matthew]. he received a great scholarship to college.","('Nellie', 'Matthew')",son
